scenario,governance_setting,governance_delta,governance_theta,governance_R_max,seed,run_length,cumulative_revenue,revenue_per_vehicle,fleet_utilization,unmet_demand_rate,avg_unmet_demand,price_volatility,spatial_imbalance,imbalance_persistence,oscillation_index,overload_frequency,low_idle_frequency,peak_unmet_demand,delta_intervention,adaptive_active_ratio,service_rate,demand_supply_mismatch,persistence_demand_supply_mismatch,vehicle_concentration
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,47,500,150585.7293835897,1254.8810781965808,0.4286,0.3958945878253294,14.542,5.191311384263359,0.111875,0.048,0.2399193548387097,0.596,0.0,81,1.5,0.074,0.6041054121746705,0.111875,0.048,15.789151297504787
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,48,500,140162.5767381526,1168.0214728179385,0.4395666666666666,0.3628844232263795,13.074,4.8443984420168436,0.10771666666666667,0.014,0.236734693877551,0.54,0.002,79,1.5,0.04,0.6371155767736205,0.10771666666666667,0.014,15.008131681291733
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,49,500,181434.3684297064,1511.9530702475531,0.4295166666666666,0.4250415282392026,16.376,5.5114645986112,0.11362222222222222,0.044,0.2179226069246435,0.616,0.004,91,1.5,0.086,0.5749584717607974,0.11362222222222222,0.044,15.62156674439472
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,50,500,179410.60824269665,1495.088402022472,0.4285833333333333,0.4461847389558233,17.776,5.471573544527767,0.11555833333333333,0.052,0.216867469879518,0.62,0.0,103,1.5,0.122,0.5538152610441767,0.11555833333333333,0.052,16.165374643972463
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,1,500,160350.52090954763,1336.2543409128969,0.4411666666666666,0.3922445935868754,14.728,5.573905126546254,0.10977222222222223,0.044,0.219959266802444,0.524,0.002,88,2.0,0.078,0.6077554064131245,0.10977222222222223,0.044,14.920216618155647
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,2,500,158169.0696150249,1318.0755801252076,0.4319833333333333,0.3917268335052385,14.432,5.4814814777878285,0.11083055555555556,0.032,0.2321792260692464,0.566,0.0,74,2.0,0.082,0.6082731664947614,0.11083055555555556,0.032,15.835721141277649
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,3,500,159729.83459070275,1331.081954922523,0.4358333333333333,0.385634399261632,14.206,5.299399114113304,0.1100138888888889,0.018,0.2089249492900608,0.548,0.0,67,2.0,0.056,0.614365600738368,0.1100138888888889,0.018,15.253393071873063
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,4,500,172744.68528578195,1439.5390440481829,0.4290833333333333,0.4211380411453698,16.09,5.449162816866858,0.11312222222222222,0.032,0.2233400402414486,0.582,0.0,93,2.0,0.096,0.5788619588546302,0.11312222222222222,0.032,15.456128756676492
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,5,500,160478.9000378127,1337.3241669817726,0.4267666666666667,0.3934670867186204,14.238,5.354089209928913,0.111725,0.038,0.1983805668016194,0.554,0.0,64,2.0,0.074,0.6065329132813795,0.111725,0.038,15.378299606634108
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,6,500,165705.45273217311,1380.8787727681092,0.4330833333333333,0.4207552016439764,16.38,5.031530457954069,0.1134,0.036,0.2121212121212121,0.626,0.0,88,2.0,0.12,0.5792447983560236,0.1134,0.036,15.271728327244166
