fleet_size,scenario,alpha,total_revenue,revenue_per_vehicle,service_rate,overload_frequency,mismatch,avg_idle,avg_unmet,avg_matched,price_avg_R1,price_min_R1,price_avg_R2,price_min_R2,price_avg_R3,price_min_R3,price_avg_R4,price_min_R4,price_avg_C,price_min_C,price_avg_A,price_min_A
100,pricing_only,0.3,37288.76071078157,372.8876071078157,0.707824611769418,0.4492,0.12206033333333333,67.4822,5.754,13.938999999999998,11.608928827065508,1.0,12.02879699384727,1.0,11.28892812406165,1.0,11.389994054717889,1.0,1.066909949448,1.0,7.501965985716417,1.0
100,rebalancing_only,0.3,90224.8,902.2479999999999,0.7407030961609007,0.36560000000000004,0.13216566666666668,73.8426,3.5588,10.157,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,25.0,25.0
120,interaction,0.075,24507.079959022572,204.22566632518812,0.7861185794496596,0.2392,0.11333361111111111,74.06620000000001,4.7421999999999995,17.433600000000002,5.37247083105883,1.0,4.821636200177684,1.0,4.823314999643543,1.0,4.698530068256709,1.0,1.1119172164664,1.0,1.7265636712822243,1.0
120,interaction,0.15,26766.819423324087,223.0568285277007,0.7892500680299066,0.231,0.11399722222222222,74.7838,4.586399999999999,17.175,6.291035982929854,1.0,5.586807704037847,1.0,5.425314603548644,1.0,5.416356581750885,1.0,1.07788896498,1.0,1.9487778473826847,1.0
120,interaction,0.3,30428.3420865777,253.56951738814752,0.798921958892736,0.2098,0.11489722222222223,75.9546,4.2314,16.8168,7.698643874002589,1.0,7.088970314303961,1.0,7.492539117445892,1.0,5.893132498554414,1.0,1.0427572193999999,1.0,2.3068219284172056,1.0
120,passive,0.3,82319.4,685.995,0.6143522465586215,0.6402,0.14533972222222222,98.93260000000001,5.712000000000001,9.0892,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,25.0,25.0
120,pricing_only,0.075,34446.6095733023,287.05507977751915,0.6743029228893405,0.5406000000000001,0.13026916666666666,86.9146,6.8792,14.2454,10.140373500732043,1.0,9.269416216429892,1.0,9.835762577616414,1.0,9.59686523589671,1.2665140552131278,1.1118705348544,1.0,5.808263579815224,1.0
120,pricing_only,0.15,35983.26073339063,299.86050611158856,0.6894142328341818,0.505,0.12976222222222222,87.0536,6.3752,14.145000000000001,10.810302328973236,1.0,10.672315834600948,1.0,10.636582491954993,1.0,10.431910826827316,1.0,1.07788896498,1.0,6.162669286434751,1.0
120,pricing_only,0.3,36898.99255078989,307.49160458991577,0.7133073557563334,0.4372,0.12876361111111112,87.026,5.6838,14.1424,11.556771045522192,1.0,11.627469476203881,1.0,11.166260507438647,1.0,11.504484500673044,1.0,1.0430112193999999,1.0,7.117292099640579,1.0
120,rebalancing_only,0.3,91053.4,758.7783333333333,0.7591461739297922,0.3304,0.13746972222222223,93.9528,3.2481999999999998,10.2364,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,25.0,25.0
